replica,turn,population,sigma,network,base_SS,true_model,modelcompare,orig_type,selected_model,prop_t_mod,old_model,init_g_true,final_g,final_g_true,replicated
1,360,All,0.2,None,100,2,5,1,8,0,2,1,2,1,1
1,361,All,0.2,None,100,2,5,1,8,0,2,1,2,1,1
1,362,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,363,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,364,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,365,All,0.2,None,100,2,5,4,8,0,2,1,2,1,0
1,366,All,0.2,None,100,2,5,4,4,0,2,1,2,1,0
1,367,All,0.2,None,100,2,5,1,4,0,2,1,4,0,0
1,368,All,0.2,None,100,2,5,2,3,0,4,0,4,0,0
1,369,All,0.2,None,100,2,5,1,3,0,4,0,4,0,1
1,370,All,0.2,None,100,2,5,3,8,0,4,0,4,0,0
1,371,All,0.2,None,100,2,5,3,7,0,4,0,4,0,0
1,372,All,0.2,None,100,2,5,1,7,0,4,0,4,0,1
1,373,All,0.2,None,100,2,5,2,3,0,4,0,4,0,0
1,374,All,0.2,None,100,2,5,2,2,1,4,0,2,1,0
1,375,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,376,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,377,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,378,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,379,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,380,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,381,All,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,382,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,383,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,384,All,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,385,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,386,All,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,387,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,388,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,389,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,390,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,391,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,392,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,393,All,0.2,None,100,2,5,1,4,0,2,1,2,1,1
1,394,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,395,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
