replica,network,population,true_model,sigma,net_size,colab_cond,TAT,TAT50
21,Lattice,All,13,0.2,484,COLAB,0.8413524963506853,0.9341301460823374
22,Lattice,All,13,0.2,484,COLAB,0.8533225126211664,0.9334029772786628
23,Lattice,All,13,0.2,484,COLAB,0.8177266988062443,0.94
24,Lattice,All,13,0.2,484,COLAB,0.8065898589235903,0.9229011993146773
25,Lattice,All,13,0.2,484,COLAB,0.81621980679186,0.9161179501860864
26,Lattice,All,13,0.2,484,COLAB,0.8219542972363584,0.9139984122783805
27,Lattice,All,13,0.2,484,COLAB,0.8331185738050153,0.9124732334047109
28,Lattice,All,13,0.2,484,COLAB,0.8302076853083842,0.9158853469059738
29,Lattice,All,13,0.2,484,COLAB,0.8434930827696513,0.9340114762649974
30,Lattice,All,13,0.2,484,COLAB,0.8281305912924938,0.9244845360824743
31,Lattice,All,13,0.2,484,COLAB,0.8191077123555434,0.927524204702628
32,Lattice,All,13,0.2,484,COLAB,0.8189004189808048,0.9153269024651661
33,Lattice,All,13,0.2,484,COLAB,0.8219628619023744,0.9239586245457087
34,Lattice,All,13,0.2,484,COLAB,0.8408207815592846,0.9390148553557467
35,Lattice,All,13,0.2,484,COLAB,0.8187008585933,0.9276066990815776
36,Lattice,All,13,0.2,484,COLAB,0.8323790719534931,0.9233664963699919
37,Lattice,All,13,0.2,484,COLAB,0.8177622514595803,0.9183948289792621
38,Lattice,All,13,0.2,484,COLAB,0.8383503194666296,0.9322478991596639
39,Lattice,All,13,0.2,484,COLAB,0.8418920644425559,0.9331379861481087
40,Lattice,All,13,0.2,484,COLAB,0.8400639894632032,0.9371770465053032
41,Lattice,All,13,0.2,484,COLAB,0.7974715860842945,0.9236722711502535
